"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Manny Machado","SDP","36","153","7","27","23","6","12.4%","18.3%",".220",".408",".356",".438",".576",".437",".383","187","2.2","17.8","3.9","2.8","11493"
"Mike Trout","LAA","34","141","10","31","21","0","15.6%","23.4%",".359",".378",".325",".440",".684",".476",".487","225","-0.5","18.4","1.8","2.7","10155"
"Aaron Judge","NYY","34","147","14","30","30","2","10.2%","26.5%",".377",".346",".315",".384",".692",".459",".487","213","1.1","19.1","0.8","2.6","15640"
"Taylor Ward","LAA","28","122","9","26","23","1","17.2%","21.3%",".356",".439",".376",".484",".733",".517",".440","253","0.0","20.2","-0.4","2.5","17548"
"Nolan Arenado","STL","35","144","8","16","29","0","9.0%","15.3%",".277",".307",".300",".361",".577",".403",".343","166","0.4","11.4","3.7","2.1","9777"
"Jose Ramirez","CLE","34","150","8","21","33","3","13.3%","8.7%",".281",".259",".281",".380",".563",".408",".380","176","0.6","12.9","1.4","2.0","13510"
"Rafael Devers","BOS","36","156","7","24","20","0","3.8%","16.7%",".233",".368",".333",".359",".567",".402",".380","167","0.9","12.2","1.2","2.0","17350"
"Jeremy Pena","HOU","31","124","7","19","21","1","7.3%","23.4%",".255",".316",".282",".341",".536",".380",".378","159","1.2","9.1","4.1","1.8","21636"
"Freddie Freeman","LAD","36","160","3","23","18","2","13.8%","13.1%",".187",".348",".313",".413",".500",".397",".439","160","1.9","13.1","-1.3","1.8","5361"
"Tommy Edman","STL","35","149","4","25","18","9","11.4%","14.1%",".164",".301",".273",".372",".438",".362",".362","138","3.1","9.6","1.6","1.7","19470"
"Jazz Chisholm Jr.","MIA","30","123","6","18","25","6","5.7%","23.6%",".274",".338",".292",".328",".566",".383",".381","152","1.0","8.5","3.2","1.7","20454"
"Byron Buxton","MIN","24","99","11","20","20","1","6.1%","28.3%",".422",".235",".256",".323",".678",".428",".418","191","0.3","10.0","2.3","1.7","14161"
"Brandon Nimmo","NYM","33","143","3","20","12","0","14.0%","15.4%",".167",".337",".292",".397",".458",".381",".381","153","0.0","8.8","1.9","1.6","12927"
"Bryce Harper","PHI","34","147","9","29","27","6","7.5%","22.4%",".328",".337",".305",".361",".634",".421",".428","172","0.3","12.5","-2.3","1.6","11579"
"Mookie Betts","LAD","34","158","8","35","20","3","12.0%","16.5%",".219",".269",".263",".354",".482",".369",".375","141","1.1","8.6","1.3","1.6","13611"
"Kyle Tucker","HOU","36","148","7","14","25","8","13.5%","20.3%",".220",".275",".252",".351",".472",".361",".412","146","1.3","8.6","0.6","1.5","18345"
"C.J. Cron","COL","36","152","9","22","28","0","5.9%","25.7%",".271",".387",".321",".368",".593",".414",".379","155","-0.1","9.7","-0.8","1.5","12546"
"Yordan Alvarez","HOU","32","136","12","24","22","0","14.0%","18.4%",".336",".225",".259",".360",".595",".407",".457","178","0.2","11.7","-2.6","1.4","19556"
"Andres Gimenez","CLE","31","100","4","13","20","3","3.0%","23.0%",".229",".386",".323",".340",".552",".385",".340","160","-0.3","6.2","3.9","1.4","19950"
"Xander Bogaerts","BOS","35","148","3","20","15","2","8.1%","20.9%",".128",".420",".338",".399",".466",".384",".342","154","0.5","9.2","-1.0","1.4","12161"
"Paul Goldschmidt","STL","35","152","5","22","23","3","11.2%","18.4%",".209",".376",".321",".397",".530",".407",".359","168","2.4","14.3","-6.3","1.4","9218"
"Daulton Varsho","ARI","35","139","6","15","16","3","9.4%","25.9%",".205",".293",".246",".324",".451",".341",".345","118","0.7","3.6","4.8","1.4","19918"
"Santiago Espinal","TOR","37","131","2","13","15","3","8.4%","19.1%",".154",".337",".282",".344",".436",".341",".359","125","0.6","4.1","4.4","1.4","19997"
"Alex Bregman","HOU","37","154","5","20","22","0","15.6%","14.3%",".190",".235",".230",".351",".421",".344",".356","133","0.7","6.2","1.4","1.3","17678"
"Ty France","SEA","37","167","5","15","25","0","7.8%","10.2%",".137",".328",".315",".392",".452",".375",".375","158","0.6","11.0","-3.9","1.3","17982"
"Giancarlo Stanton","NYY","34","145","10","14","32","0","6.9%","26.9%",".250",".326",".288",".331",".538",".373",".428","152","0.1","8.2","-0.7","1.3","4949"
"Luis Robert","CHW","28","121","5","20","13","6","5.0%","13.2%",".157",".309",".296",".331",".452",".346",".423","133","2.7","7.0","1.2","1.3","20043"
"Corey Seager","TEX","34","147","8","18","18","0","9.5%","17.0%",".197",".240",".242",".313",".439",".330",".388","122","0.6","4.1","3.3","1.3","13624"
"Jeff McNeil","NYM","36","138","1","17","16","1","8.0%","12.3%",".112",".352",".312",".370",".424",".353",".325","134","1.5","7.0","0.5","1.3","15362"
"Manuel Margot","TBR","27","102","3","10","21","5","8.8%","12.7%",".152",".382",".348",".412",".500",".401",".395","177","0.7","9.2","-0.6","1.3","14712"
"Tim Anderson","CHW","31","135","4","19","12","5","2.2%","12.6%",".156",".355",".328",".363",".484",".372",".391","152","0.8","8.3","-0.8","1.3","15172"
"Eric Hosmer","SDP","34","140","4","15","24","0","9.3%","15.7%",".157",".396",".346",".407",".504",".396",".341","160","-1.4","8.4","-1.2","1.3","3516"
"Juan Soto","WSN","38","168","8","26","11","3","17.3%","15.5%",".225",".260",".254",".387",".478",".383",".428","146","1.4","10.5","-4.5","1.2","20123"
"Wander Franco","TBR","35","151","4","22","16","3","3.3%","9.9%",".160",".276",".271",".291",".431",".312",".370","114","2.2","4.4","2.2","1.2","23667"
"Willy Adames","MIL","35","148","9","23","24","1","11.5%","28.4%",".254",".228",".208",".304",".462",".338",".398","117","-0.8","2.1","4.4","1.2","15986"
"Willson Contreras","CHC","30","130","5","23","14","0","11.5%","19.2%",".220",".316",".275",".392",".495",".394",".423","154","0.0","8.1","-1.1","1.2","11609"
"Joey Wendle","MIA","25","87","2","12","10","4","8.0%","11.5%",".152",".328",".304",".368",".456",".366",".335","141","1.7","5.8","2.5","1.2","13853"
"Dansby Swanson","ATL","37","139","4","19","16","4","10.1%","36.7%",".169",".343",".226",".302",".395",".310",".333","97","1.2","0.8","5.7","1.2","18314"
"J.D. Martinez","BOS","29","124","5","15","19","0","6.5%","25.0%",".246",".418",".333",".379",".579",".415",".421","177","-0.3","10.0","-3.1","1.2","6184"
"J.P. Crawford","SEA","35","146","4","16","11","1","9.6%","17.1%",".167",".343",".302",".384",".468",".376",".340","159","-0.3","8.9","-3.0","1.1","15491"
"Ke'Bryan Hayes","PIT","33","136","0","13","9","3","13.2%","17.6%",".078",".366",".293",".390",".371",".346",".393","124","-0.5","3.3","2.8","1.1","18577"
"Christian Walker","ARI","37","145","9","18","18","0","11.0%","20.7%",".266",".213",".219",".310",".484",".349",".419","124","0.8","4.8","0.8","1.1","13419"
